category,game,real_bytes,mock_bytes,savings_pct,updated_at
doom,actionDoom2,191581198,209908382,+8.7,2026-08-16T19:42:04
doom,actionDoomRampageEdition,32703968,36362198,+10.1,2026-08-16T19:42:04
doom,aoddoom,5961710,6834740,+12.8,2026-08-16T19:42:04
doom,aoddoomDeh,10426,10484,+0.6,2026-08-16T19:42:04
doom,batmanDeh,65456,65514,+0.1,2026-08-16T19:42:04
doom,batmanWad,14900101,16973860,+12.2,2026-08-16T19:42:04
doom,betray,64630,77007,+16.1,2026-08-16T19:42:04
doom,bikiniBottomMassacre,448760296,450604134,+0.4,2026-08-16T19:42:04
doom,blasphemer,17356164,20417448,+15.0,2026-08-16T19:42:04
doom,cqstrife,2448484,3676190,+33.4,2026-08-16T19:42:04
doom,doom,11087937,12996515,+14.7,2026-08-16T19:42:04
doom,doom2,13613333,14951361,+8.9,2026-08-16T19:42:04
doom,doom64,15053144,15103212,+0.3,2026-08-16T19:42:04
doom,doom64CEBgmExtended,580895622,583620880,+0.5,2026-08-16T19:42:04
doom,doom64CEBrightmaps,570848,1651562,+65.4,2026-08-16T19:42:04
doom,doom64CEDecals,3965,5472,+27.5,2026-08-16T19:42:04
doom,doom64CEExtra,1859,3471,+46.4,2026-08-16T19:42:04
doom,doom64CEMain,48992125,65512212,+25.2,2026-08-16T19:42:04
doom,doom64CEParallax,1206126,1590138,+24.1,2026-08-16T19:42:04
doom,doom64CEPbr,17654988,29504582,+40.2,2026-08-16T19:42:04
doom,doom64CESfxHq,30172569,30303782,+0.4,2026-08-16T19:42:04
doom,doom64LostLevels,925178,1345852,+31.3,2026-08-16T19:42:04
doom,freedoom1,25277332,28795084,+12.2,2026-08-16T19:42:04
doom,freedoom2,25325099,28787756,+12.0,2026-08-16T19:42:04
doom,goldenSouls2,167661174,206391573,+18.8,2026-08-16T19:42:04
doom,goldenSouls3,66881858,99744595,+32.9,2026-08-16T19:42:04
doom,goldenSoulsRemastered,73547911,88568994,+17.0,2026-08-16T19:42:04
doom,gzpt,34697642,40868326,+15.1,2026-08-16T19:42:04
doom,hdoom,45776037,71243520,+35.7,2026-08-16T19:42:04
doom,hocusPocusDoom,27374229,37507510,+27.0,2026-08-16T19:42:04
doom,id1,29838957,34816890,+14.3,2026-08-16T19:42:04
doom,inquisitor,15751387,15838212,+0.5,2026-08-16T19:42:04
doom,inquisitor2,25059827,25629622,+2.2,2026-08-16T19:42:04
doom,inquisitor3Res,35574480,36147821,+1.6,2026-08-16T19:42:04
doom,inquisitor3Wad,89112920,89145712,+0.04,2026-08-16T19:42:04
doom,jazzJackrabbitDoom,76853048,118055910,+34.9,2026-08-16T19:42:04
doom,lastermaul,12942592,12942592,+0.0,2026-08-16T19:42:04
doom,legendOfDoomAddon,7307242,7360260,+0.7,2026-08-16T19:42:04
doom,legendOfDoomBase,13602951,16042584,+15.2,2026-08-16T19:42:04
doom,lights,13813,23732,+41.8,2026-08-16T19:42:04
doom,masterLevels,3271333,3920169,+16.6,2026-08-16T19:42:04
doom,metroidDreadnoughtLevels,16766166,17645515,+5.0,2026-08-16T19:42:04
doom,metroidDreadnoughtMain,18373649,28957507,+36.5,2026-08-16T19:42:04
doom,nerve,3566447,4039441,+11.7,2026-08-16T19:42:04
doom,paranoiac,60406579,66475531,+9.1,2026-08-16T19:42:04
doom,paranoid,67907286,78652460,+13.7,2026-08-16T19:42:04
doom,pirateDoom,38980646,42383233,+8.0,2026-08-16T19:42:04
